	votes	unemployment_rate	med_hhinc	per_capita_inc	poverty_all_ages_pct	deep_pov_all	deep_pov_children	population	area_in_square_miles	voter_turnout_rate	democrat	county	state	education	religion	age_old	age_young	age_adult	ethnic_male	ethnic_female
1185	-0.10410237989742124	0.07200000000000001	-0.8169046558744153	-0.6093707477799877	0.235	0.08316053024	0.1350753491	-0.09997918864069856	-0.10531363349750296	0.447866573	0	Walker County	AL	LT High School	MAINLINE CHRISTIAN	0.22879590800000002	0.29789873499999997	0.372178149	WHITE MALE	WHITE FEMALE
1186	-0.3573404053561363	0.037000000000000005	0.25564729340026315	-0.6202400145706373	0.142	0.03628724217	0.05703422053	-0.29192404534771194	-0.23535850174196946	0.342070581	0	Brown County	IL	LT High School	OTHER CHRISTIAN	0.178210572	0.271782106	0.483819008	WHITE MALE	WHITE FEMALE
1187	0.4047736300080779	0.035	0.26225778307221803	0.5333047512757229	0.195	0.1116350518	0.07340515114	0.20547591327102652	-0.13513897668839522	0.476139312	1	Boone County	MO	High School	MAINLINE CHRISTIAN	0.158292089	0.409672294	0.37795329600000005	WHITE MALE	WHITE FEMALE
1188	-0.19705137976475207	0.057	-0.8013700051453214	-0.7715331958662921	0.212	0.0994753731	0.16742309630000002	-0.18374542424585294	0.053357923483375445	0.486217112	0	Levy County	FL	LT High School	CATHOLIC	0.268301868	0.266042377	0.34299056	WHITE MALE	WHITE FEMALE
1189	2.3882785582219133	0.059000000000000004	-0.07818243503345805	0.39831547016604235	0.165	0.08188369204000001	0.1320836722	1.8395148794752114	-0.1546543247021889	0.427651489	1	Jackson County	MO	GTE Bachelor's	NON-CATHOLIC CHRISTIAN	0.197458491	0.32860012	0.40731912800000003	WHITE MALE	WHITE FEMALE
1190	-0.34483238380655323	0.026000000000000002	0.14045951086644945	0.25210630075633655	0.14300000000000002	0.04429664952	0.02228739003	-0.28572351665769574	0.021281512449864443	0.393916595	0	Woods County	OK	GTE Bachelor's	NON-CATHOLIC CHRISTIAN	0.198731729	0.38112639800000003	0.35189166099999997	WHITE MALE	WHITE FEMALE
1191	-0.32248923620782466	0.071	-0.4439077761343615	-1.7264508766512654	0.18100000000000002	0.056542810990000004	0.08874801902	-0.2603112519853213	-0.2178800828665083	0.366199745	0	Lawrence County	IL	LT High School	OTHER CHRISTIAN	0.214723182	0.285428416	0.4179855680000001	WHITE MALE	WHITE FEMALE
1192	-0.35694511799339557	0.046	0.10344076870350215	-0.03978610579901141	0.12	0.05484643	0.06494661922	-0.2975335911383706	-0.08182105076873435	0.459605721	0	Rooks County	KS	GTE Bachelor's	MAINLINE CHRISTIAN	0.260919985	0.301507539	0.339002706	WHITE MALE	WHITE FEMALE
1193	0.21687095864808809	0.063	1.103855749432973	0.8585062012217711	0.091	0.04467209421	0.06076550419	0.1184321184510568	-0.1437671996025628	0.469933234	0	Tazewell County	IL	GTE Bachelor's	CATHOLIC	0.224851633	0.30186201700000004	0.38560830900000004	WHITE MALE	WHITE FEMALE
1194	-0.35048875773529625	0.035	0.1022013018900106	0.3131144433877246	0.149	0.0481042654	0.04045307442999999	-0.300491700137317	-0.12235855206916516	0.689313836	0	Custer County	CO	High School	MAINLINE CHRISTIAN	0.35658042799999995	0.190101238	0.268166479	WHITE MALE	WHITE FEMALE
1195	-0.07351466730438508	0.048	0.8507566261180007	1.0885139113722915	0.10400000000000001	0.047983897149999996	0.07003106436	-0.0730591189494227	1.0882406637941286	0.395397795	0	Natrona County	WY	GTE Bachelor's	MAINLINE CHRISTIAN	0.200528122	0.33358076299999995	0.40357516699999996	WHITE MALE	WHITE FEMALE
1196	-0.3458017790056556	0.03	0.4697445276507016	0.3792065979050616	0.1	0.02990264256	0.0350877193	-0.2905855489432211	-0.13603731466735214	0.498739849	0	Grant County	SD	GTE Bachelor's	MAINLINE CHRISTIAN	0.264771773	0.29725566999999997	0.33562027499999997	WHITE MALE	WHITE FEMALE
1197	-0.33563724682089285	0.044000000000000004	0.4204137484737384	0.8855040574437072	0.096	0.03220459389	0.040681693240000004	-0.28621227548797523	-0.12769112809541522	0.551765125	0	Murray County	MN	GTE Bachelor's	MAINLINE CHRISTIAN	0.29038393	0.28574824699999996	0.314513253	WHITE MALE	WHITE FEMALE
1198	-0.022277895810080807	0.052000000000000005	0.284237661231468	-0.033825540139622925	0.14300000000000002	0.07524578525	0.1217217934	-0.04704628787121463	-0.14489012207625895	0.435686887	0	St. Clair County	AL	LT High School	MAINLINE CHRISTIAN	0.204561637	0.304246963	0.40819303100000004	WHITE MALE	WHITE FEMALE
1199	-0.3000143261548492	0.047	0.4316515809160617	0.7408726848261925	0.115	0.04653042374	0.06401028278	-0.2584648297375988	-0.3135452432825801	0.472895623	0	Colonial Heights city	VA	GTE Bachelor's	CATHOLIC	0.22946128	0.31127946100000004	0.360044894	WHITE MALE	WHITE FEMALE
1200	-0.36344853627086876	0.032	1.6008819416430802	0.9496677936594774	0.08900000000000001	0.05226130653	0.11922141119999999	-0.30192283710440987	-0.07737897837860146	0.395637899	0	Hemphill County	TX	GTE Bachelor's	MAINLINE CHRISTIAN	0.166510318	0.395403378	0.375234521	WHITE MALE	WHITE FEMALE
1201	-0.28167111020290225	0.073	-0.49894010265338584	-1.0373042999731434	0.255	0.09462072917	0.1384934347	-0.21793298634814726	-0.14615406272107043	0.351323898	0	Wayne County	GA	LT High School	PENTECOSTAL / CHARISMATIC	0.19628225100000002	0.33642581499999996	0.3884675290000001	WHITE MALE	WHITE FEMALE
1202	-0.3234962778224262	0.055	-0.5000969383459779	-1.533433735739891	0.23399999999999999	0.08082286771	0.12384937239999999	-0.2495489742126966	-0.07085558224071083	0.297045568	0	Jones County	TX	Some College	MAINLINE CHRISTIAN	0.186930396	0.274261391	0.46199299	WHITE MALE	WHITE FEMALE
1203	-0.2848051742932041	0.046	-0.4816701983854037	-0.7466390687006108	0.172	0.07801240154	0.1329345297	-0.23253186121335798	-0.13361389128225903	0.384848253	0	Audrain County	MO	LT High School	CATHOLIC	0.217427959	0.30970263500000006	0.385959534	WHITE MALE	WHITE FEMALE
1204	-0.30284721892115807	0.045	0.36166302151423946	0.030688817585523054	0.139	0.06328063787999999	0.09944173063999999	-0.24332608400756958	-0.08187327972099927	0.373884237	0	Hutchinson County	TX	LT High School	MAINLINE CHRISTIAN	0.21229410099999999	0.34719793899999996	0.36601638	WHITE MALE	WHITE FEMALE
1205	-0.3664884843224228	0.034	-0.21229274425324257	-0.33869094254187526	0.139	0.05124892334	0.05172413793	-0.3064845861870184	-0.1721118519967441	0.568570238	0	Sedgwick County	CO	GTE Bachelor's	MAINLINE CHRISTIAN	0.295956648	0.261775741	0.323884953	WHITE MALE	WHITE FEMALE
1206	-0.15317448250052604	0.065	-1.0154672393957598	-0.792044554164776	0.205	0.06415274463000001	0.09075487701	-0.14109882042734898	-0.21520596051054355	0.463156069	0	Henry County	VA	LT High School	OTHER MISC	0.26215763000000003	0.26876891199999997	0.35731770799999996	WHITE MALE	WHITE FEMALE
1207	-0.3405312808357786	0.039	-0.7398098200752417	-0.018398193727088015	0.171	0.08546135512	0.1557948068	-0.2843818257510462	-0.12202428677466953	0.45103403	1	Deer Lodge County	MT	GTE Bachelor's	MAINLINE CHRISTIAN	0.282306598	0.235912025	0.364591312	WHITE MALE	WHITE FEMALE
1208	-0.22683910602843188	0.053	0.15541574374924735	0.1281615971919936	0.16	0.06196208504	0.100898848	-0.20031850144513372	-0.24895108656891932	0.453114076	0	Clark County	KY	GTE Bachelor's	MAINLINE CHRISTIAN	0.21623738	0.304471851	0.39046899999999996	WHITE MALE	WHITE FEMALE
1209	-0.3234962778224262	0.054000000000000006	-0.7891405992522048	-0.6628405279597962	0.191	0.08050986842	0.1571104632	-0.2744660910504742	-0.15975448189086	0.499326599	0	Barton County	MO	GTE Bachelor's	MAINLINE CHRISTIAN	0.246464648	0.314393938	0.342676768	WHITE MALE	WHITE FEMALE
1210	-0.3607944639781807	0.064	-0.1376768420810519	-0.08729532031943141	0.155	0.06400202378	0.1210191083	-0.30105712701940507	-0.08748005774664025	0.499239351	0	Columbia County	WA	GTE Bachelor's	OTHER	0.29944219099999997	0.24619675599999996	0.315162271	WHITE MALE	WHITE FEMALE
1211	-0.29879081765112775	0.055	-0.9214330238122018	-1.122680637506149	0.212	0.07694307252	0.1039337474	-0.23753125709170694	-0.14724303637579436	0.366419732	0	Hampshire County	WV	Some College	OTHER CHRISTIAN	0.249432622	0.263734852	0.370915942	WHITE MALE	WHITE FEMALE
1212	0.3269490775675192	0.052000000000000005	0.33926998775049233	0.11553922285446504	0.149	0.06731401503	0.1086916259	0.19809341878229525	-0.12596496122305903	0.4648122	1	Rock County	WI	GTE Bachelor's	MAINLINE CHRISTIAN	0.212780587	0.322661167	0.38440860200000004	WHITE MALE	WHITE FEMALE
1213	-0.15935790624625673	0.073	0.43032948298167073	-0.14918001672425893	0.154	0.05097047251	0.060677797160000005	-0.11896092046763118	-0.19198235688593934	0.377759819	0	Tipton County	TN	GTE Bachelor's	MAINLINE CHRISTIAN	0.189817359	0.33832228900000005	0.395070309	WHITE MALE	WHITE FEMALE
1214	-0.19810547939872747	0.038	1.2907673449074972	0.7634877721809311	0.11	0.036230227670000004	0.04059848554	-0.17698266317590738	-0.1044727473660375	0.405197811	0	Wilson County	TX	GTE Bachelor's	NON-CATHOLIC CHRISTIAN	0.206860269	0.321422559	0.38158670100000003	WHITE MALE	WHITE FEMALE
1215	-0.30383543732801	0.06	-0.468449219041494	-0.4710505623312372	0.184	0.07901823968999999	0.1473123732	-0.25962123951904437	-0.09325135697191579	0.487717378	0	Bates County	MO	LT High School	MAINLINE CHRISTIAN	0.23835583100000002	0.31138270700000004	0.354554299	WHITE MALE	WHITE FEMALE
1216	0.16299893806884533	0.049	-0.2718697824217359	-0.03838361976150824	0.24	0.1623206271	0.0993315508	0.12667393402047555	-0.20817072064045655	0.398210152	1	Monroe County	IN	High School	MAINLINE CHRISTIAN	0.159476174	0.43230710800000005	0.350250509	WHITE MALE	WHITE FEMALE
